A00	COLERA
F07	TRASTORNOS DE LA PERSONALIDAD Y DEL COMPORTAMIENTO DEBIDOS A ENFERMEDAD, LESION O DISFUNCION CEREBRAL
F09	TRASTORNO MENTAL ORGANICO O SINTOMATICO, NO ESPECIFICADO
F10	TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL ALCOHOL
F11	TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OPIACEOS
F12	TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE CANNABINOIDES
F13	TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE SEDANTES O HIPNOTICOS
F14	TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE COCAINA
F15	TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE OTROS ESTIMULANTES
F16	TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE ALUCINOGENOS
F17	TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DEL TABACO
F18	TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE DISOLVENTES VOLATILES
F19	TRASTORNOS MENTALES Y DEL COMPORTAMIENTO DEBIDOS AL USO DE MULTIPLES DROGAS Y AL USO DE OTRAS SUSTANCIAS PSICOACTIVAS
F20	ESQUIZOFRENIA
F21	TRASTORNO ESQUIZOTIPICO
F22	TRASTORNOS DELIRANTES PERSISTENTES
F23	TRASTORNOS PSICOTICOS AGUDOS Y TRANSITORIOS
F24	TRASTORNO DELIRANTE INDUCIDO
F25	TRASTORNOS ESQUIZOAFECTANIVOS
F28	OTROS TRASTORNOS PSICOTICOS DE ORIGEN NO ORGANICO
F29	PSICOSIS DE ORIGEN NO ORGANICO, NO ESPECIFICADA
F30	EPISODIO MANIACO
F31	TRASTORNO AFECTANIVO BIPOLAR
F32	EPISODIO DEPRESIVO
F33	TRASTORNO DEPRESIVO RECURRENTE
F34	TRASTORNOS DEL HUMOR [ AFECTIVOS ] PERSISTENTES
F38	OTROS TRASTORNOS DEL HUMOR [ AFECTIVOS ]
F39	TRASTORNO DEL HUMOR [ AFECTIVOS ], NO ESPECIFICADO
F40	TRASTORNOS FOBICOS DE ANSIEDAD
F41	OTROS TRASTORNOS DE ANSIEDAD
F42	TRASTORNO OBSESIVO-COMPULSIVO
F43	REACCION AL ESTRES GRAVE Y TRASTORNOS DE ADAPTACION
F44	TRASTORNOS DISOCIATIVOS [ DE CONVERSION ]
F45	TRASTORNOS SOMATOMORFOS
F48	OTROS TRASTORNOS NEUROTICOS
F50	TRASTORNOS DE LA INGESTION DE ALIMENTOS
F51	TRASTORNOS NO ORGANICOS DEL SUENO
F52	DISFUNCION SEXUAL NO OCASIONADA POR TRASTORNOS NI ENFERMEDADES ORGANICOS
F53	TRASTORNOS MENTALES Y DEL COMPORTAMIENTO ASOCIADOS ALPUERPERIO NO CLASIFICADAS EN OTRA PARTE
F54	FACTORES PSICOLOGICOS Y DEL COMPORTAMIENTO ASOCIADOS A ENFERMEDADES CLASIFICADOS EN OTRA PARTE
F55	ABUSO DE SUSTANCIAS QUE NO PRODUCEN DEPENDENCIA
F59	SINDROME DEL COMPORTAMIENTO ASOCIADOS CON ALTERACIONES FISIOLOGICAS Y FACTORES FISICOS NO ESPECIFICADOS
F60	TRASTORNOS ESPECIFICOS DE LA PERSONALIDAD
F61	TRASTORNOS MIXTOS Y OTROS TRASTORNOS DE LA PERSONALIDAD
F62	CAMBIOS PERDURABLES DE LA PERSONALID NO ATRIBUIBLES A LESION O A ENFERMEDAD CEREBRAL
F63	TRASTORNOS DE LOS HABITOS Y DE LOS IMPULSOS
F64	TRASTORNOS DE LA IDENTIDAD DE GENERO
F65	TRASTORNOS DE LA PREFERENCIA SEXUAL
F66	TRASTORNOS PSICOLOGICOS Y DEL COMPORTAMIENTO ASOCIADOS CON EL DESARROLLO Y CON LA ORIENTACION SEXUALES
F68	OTROS TRASTORNOS DE LA PERSONALID Y DEL COMPORT EN ADULTOS
F69	TRASTORNOS DE LA PERSONALID Y DEL COMPORT EN ADULTOS, NO ESPECIFICADO
F70	RETRASO MENTAL LEVE
F71	RETRASO MENTAL MODERADO
F72	RETRASO MENTAL GRAVE
F73	RETRASO MENTAL PROFUNDO
F78	OTROS TIPOS DE RETRASO MENTAL
F79	RETRASO MENTAL NO ESPECIFICADO
F80	TRASTORNOS ESPECIFICOS DEL DESARROLLO DEL HABLA Y DEL LENGUAJE
F81	TRASTORNOS ESPECIFICOS DEL DESARROLLO DE LAS HABILIDADES ESCOLARES
F82	TRASTORNOS ESPECIFICOS DEL DESARROLLO DE LA FUNCION MOTRIZ
F83	TRASTORNOS ESPECIFICOS MIXTOS DESARROLLO
F84	TRASTORNOS GENERALIZADOS DEL DESARROLLO
F88	OTROS TRASTORNOS DEL DESARROLLO PSICOLOGICO
F89	TRASTORNOS DEL DESARROLLO PSICOLOGICO, NO ESPECIFICADOS
F90	TRASTORNOS HIPERCINETICOS
F91	TRASTORNOS DE LA CONDUCTA
F92	TRASTORNOS MIXTOS DE LA CONDUCTA Y DE LAS EMOCIONES
F93	TRASTORNOS EMOCIONALES COMIENZO ESPECIFICO EN LA NINEZ
F94	TRASTORNOS DEL COMPORT SOCIAL DE COMIENZO ESPECIFICO EN LA NINEZ Y EN LA ADOLESCENCIA
F95	TRASTORNOS POR TICS
F98	OTROS TRASTORNOS EMOCIONALES Y DEL COMPORTAMIENTO QUE APARECEN HABITUALMENTE EN LA NINEZ Y EN LA ADOLESCENCIA
F99	TRASTORNO MENTAL NO ESPECIFICADO
G00	MENINGITIS BACTERIANA NO CLASIFICADA EN OTRA PARTE
G01*	MENINGITIS EN ENFERMEDADES BACTERIANAS CLASIFICADAS EN OTRA PARTE
G02*	MENINGITIS EN OTRAS ENFERMEDADES INFECCIOSAS CLASIFICADAS OTRA PARTE
G03	MENINGITIS DEBIDA A OTRAS CAUSAS Y A LAS NO ESPECIFICADAS
G04	ENCEFALITIS MIELITIS Y ENCEFALOMIELITIS
G05*	ENCEFALITIS MIELITIS Y ENCEFALOMIELITIS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
G06	ABSCESO Y GRANULOMA INTRACRANEAL E INTRARRAQUIDEO
G07*A2492	ABSCESO Y GRANULOMA INTRACRANEAL E INTRARRAQUIDEO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
G08	FLEBITIS Y TROMBOFLEBITIS INTRACRANEAL E INTRARRAQUIDEA
G09	SECUELAS DE ENFERMEDADES INFLAMATORIAS DEL SISTEMA NERVIOSO CENTRAL
G10	ENFERMEDAD DE HUNTINGTON
G11	ATAXIA HEREDITARIA
G12	ATROFIA MUSCULAR ESPINAL Y SINDROMES AFINES
G13*	ATROFIAS SISTEMICAS QUE AFECTAN PRIMARIAMENTE EL SISTEMA NERVIOSO CENTRAL EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
G20	ENFERMEDAD DE PARKINSON
G21	PARKINSONISMO SECUNDARIO
G22*	PARKINSONISMO EN ENFERMEDADES CLASIFICADAS OTRA PARTE
G23	OTRAS ENFERMEDADES DEGENERATIVAS DE LOS NUCLEOS DE LA BASE
G24	DISTONIA
G25	OTROS TRASTORNOS EXTRAPIRAMIDALES Y DEL MOVIMIENTO
G26*	TRASTORNOS EXTRAPIRAMIDALES Y DEL MOVIMIENTO EN ENFERMEDADES CLASIFICADOS EN OTRA PARTE
G30	ENFERMEDAD DE ALZHEIMER
G31	OTRAS ENFERMEDADES DEGENERATIVAS DEL SISTEMA NERVIOSO NO CLASIFICADAS EN OTRA PARTE
G32*A2561	OTROS TRASTORNOS DEGENERATIVOS DEL SISTEMA NERVIOSO EN ENFERMEDADES CLASIFICADOS EN OTRA PARTE
G35	ESCLEROSIS MULTIPLE
G36	OTRAS DESMIELINIZACIONES DISEMINADAS AGUDAS
G37	OTRAS ENFERMEDADES DESMIELINIZANTES DEL SISTEMA NERVIOSO CENTRAL
G40	EPILEPSIA
G41	ESTADO DE MAL EPILEPTICO
G43	MIGRAÑA
G44	OTROS SINDROMES DE CEFALEA
G45	ATAQUES DE ISQUEMIA CEREBRAL TRANSITORIA Y SINDROMES AFINES
G46*	SINDROMES VASCULARES ENCEFALICOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
G47	TRASTORNOS DEL SUENO
G50	TRASTORNOS DEL NERVIO TRIGEMINO
G51	TRASTORNOS DEL NERVIO FACIAL
G52	TRASTORNOS DE OTROS NERVIOS CRANEALES
G53*	TRASTORNOS DE LOS NERVIOS CRANEALES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
G54	TRASTORNOS DE LAS RAICES Y DE LOS PLEXOS NERVIOSOS
G55*	COMPRESIONES DE LAS RAICES Y DE LOS PLEXOS NERVIOSOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
G56	MONONEUROPATIAS DEL MIEMBRO SUPERIOR
G57	MONONEUROPATIAS DEL MIEMBRO INFERIOR
G58	OTRAS MONONEUROPATIAS
G59*	MONONEUROPATIA EN ENFERMEDADES CLASIFICADAS OTRA PARTE
G60	NEUROPATIA HEREDITARIA E IDIOPATICA
G61	POLINEUROPATIA INFLAMATORIA
G62	OTRAS POLINEUROPATIAS
G63*	POLINEUROPATIA EN ENFERMEDADES CLASIFICADAS OTRA PARTE
G64	OTROS TRASTORNOS DEL SISTEMA NERVIOSO PERIFERICO
G70	MIASTENIA GRAVIS Y OTROS TRASTORNOS NEUROMUSCULARES
G71	TRASTORNOS MUSCULARES PRIMARIOS
G72	OTRAS MIOPATIAS
G73*	TRASTORNOS DEL MUSCULO Y DE LA UNION NEUROMUSCULAR EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
G80	PARALISIS CEREBRAL INFANTIL
G81	HEMIPLEJIA
G82	PARAPLEJIA Y CUADRIPLEJIA
G83	OTROS SINDROMES PARALITICOS
G90	TRASTORNOS DEL SISTEMA NERVIOSO AUTONOMO
G91	HIDROCEFALO
G92	ENCEFALOPATIA TOXICA
G93	OTROS TRASTORNOS DEL ENCEFALO
G94*	OTROS TRASTORNOS DEL ENCEFALO EN ENFERMEDADES CLASIFICADAS OTRA PARTE
G95	OTRAS ENFERMEDADES DE LA MEDULA ESPINAL
G96	OTROS TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL
G97	TRASTORNOS DEL SISTEMA NERVIOSO CONSECUTIVOS A PROCEDIMIENTOS, NO CLASIFICADOS EN OTRA PARTE
G98	OTROS TRASTORNOS SISTEMA NERVIOSO NO CLASIFICADAS EN OTRA PARTE
G99*	OTROS TRASTORNOS DEL SISTEMA NERVIOSO EN ENFERMEDADES CLASIFICADAS OTRA PARTE
H00	ORZUELO Y CALACIO
H01	OTRAS INFLAMACIONES DEL PARPADO
H02	OTROS TRASTORNOS DE LOS PARPADOS
H03*	TRASTORNOS DEL PARPADO EN ENFERMEDADES CLASIFICADAS OTRA PARTE
H04	TRASTORNOS DEL APARATO LAGRIMAL
H05	TRASTORNOS DE LA ORBITA
H06*	TRASTORNOS DEL APARATO LAGRIMAL Y DE LA ORBITA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
H10	CONJUNTIVITIS
H11	OTROS TRASTORNOS DE LA CONJUNTIVA
H13*	TRASTORNOS DE LA CONJUNTIVA EN ENFERMEDADES CLASIFICADAS OTRA PARTE
H15	TRASTORNOS DE LA ESCLEROTICA
H16	QUERATITIS
H17	OPACIDADES Y CICATRICES CORNEALES
H18	OTROS TRASTORNOS DE LA CORNEA
H19*	TRASTORNOS DE LA ESCLEROTICA Y DE LA CORNEA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
H20	IRIDOCICLITIS
H21	OTROS TRASTORNOS DEL IRIS Y DEL CUERPO CILIAR
H22*	TRASTORNOS DEL IRIS Y DEL CUERPO CILIAR EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
H25	CATARATA SENIL
H26	OTRAS CATARATAS
H27	OTROS TRASTORNOS DEL CRISTALINO
H28*	CATARATA Y OTROS TRASTORNOS DEL CRISTALINO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
H30	INFLAMACION CORIORRETINIANA
H31	OTROS TRASTORNOS DE LA COROIDES
H32*	TRASTORNOS CORIORRETINIANOS EN ENFERMEDADES CLASIFICADAS OTRA PARTE
H33	DESPRENDIMIENTO Y DESGARRO DE LA RETINA
H34	OCLUSION VASCULAR DE LA RETINA
H35	OTROS TRASTORNOS DE LA RETINA
H36*	TRASTORNOS DE LA RETINA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
H40	GLAUCOMA
H42*	GLAUCOMA EN ENFERMEDADES CLASIFICADASIF EN OTRA PARTE
H43	TRASTORNOS DEL CUERPO VITREO
H44	TRASTORNOS DEL GLOBO OCULAR
H45*	TRASTORNOS DEL CUERP VITREO Y DEL GLOBO OCULAR EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
H46	NEURITIS OPTICA
H47	OTROS TRASTORNOS DEL NERVIO OPTICO [ II PAR ] Y DE LAS VIAS OPTICAS
H48*	OTROS TRASTORNOS DEL NERVIO OPTICO [ II PAR ] Y DE LAS VIAS OPTICAS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
H49	ESTRABISMO PARALITICO
H50	OTROS ESTRABISMOS
H51	OTROS TRASTORNOS DE LOS MOVIMIENTOS BINOCULARES
H52	TRASTORNOS DE LA ACOMODACION Y DE LA REFRACCION
H53	ALTERACIONES DE LA VISION
H54	CEGUERA Y DISMINUCION DE LA AGUDEZA VISUAL
H55	NISTAGMO Y OTROS MOVIMIENTOS OCULARES IRREGULARES
H57	OTROS TRASTORNOS DEL OJO Y SUS ANEXOS
H58*	OTROS TRASTORNOS DEL OJO Y SUS ANEXOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
H59	TRASTORNOS DEL OJO Y SUS ANEXOS CONSECUTIVOS A PROCEDIMIENTOS, NO CLASIFICADOS EN OTRA PARTE
H60	OTITIS EXTERNA
H61	OTROS TRASTORNOS DEL OIDO EXTERNO
H62*	TRASTORNOS DEL OIDO EXTERNO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
H65	OTITIS MEDIA NO SUPURATIVA
H66	OTITIS MEDIA SUPURATIVA Y LA NO ESPECIFICADA
H67*	OTITIS MEDIA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
H68	INFLAMACION Y OBSTRUCCION DE LA TROMPA DE EUSTAQUIO
H69	OTROS TRASTORNOS DE LA TROMPA DE EUSTAQUIO
H70	MASTOIDITIS Y AFECCIONES RELACIONADAS
H71	COLESTEATOMA DEL OIDO MEDIO
H72	PERFORACION DE LA MEMBRANA TIMPANICA
H73	OTROS TRASTORNOS DE LA MEMBRANA TIMPANICA
H74	OTROS TRASTORNOS DEL OIDO MEDIO Y DE LA APOFISIS MASTOIDES
H75*	OTROS TRASTORNOS DEL OIDO MEDIO Y DE LA APOFISIS MASTOIDESEN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
H80	OTOSCLEROSIS
H81	TRASTORNOS DE LA FUNCION VESTIBULAR
H82*	SINDROMES VERTIGINOSOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
H83	OTROS TRASTORNOS DEL OIDO INTERNO
H90	HIPOACUSIA CONDUCTIVA Y NEUROSENSORIAL
H91	OTRAS HIPOACUSIAS
H92	OTALGIA Y SECRECION DEL OIDO
H93	OTROS TRASTORNOS DEL OIDO NO CLASIFICADOS EN OTRA PARTE
H94*	OTROS TRASTORNOS DEL OIDO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
H95	TRASTORNOS DEL OIDO Y DE LA APOFISIS MASTOIDES CONSECUTIVOS A PROCEDIMIENTOS NO CLASIFICADOS EN OTRA PARTE
I00	FIEBRE REUMATICA SIN MENCION DE COMPLICACION CARDIACA
I01	FIEBRE REUMATICA CON COMPLICACION CARDIACA
I02	COREA REUMATICA
I05	ENFERMEDADES REUMATICAS DE LA VALVULA MITRAL
I06	ENFERMEDADES REUMATICAS DE LA VALVULA AORTICA
I07	ENFERMEDADES REUMATICAS DE LA VALVULA TRICUSPIDE
I08	ENFERMEDADES VALVULARES MULTIPLES
I09	OTRAS ENFERMEDADES REUMATICAS DEL CORAZON
I10	HIPERTENSION ESENCIAL (PRIMARIA)
I11	ENFERMEDAD CARDIACA HIPERTENSIVA
I12	ENFERMEDAD RENAL HIPERTENSIVA
I13	ENFERMEDAD CARDIORRENAL HIPERTENSIVA
I15	HIPERTENSION SECUNDARIA
I20	ANGINA DE PECHO
I21	INFARTO AGUDO DEL MIOCARDIO
I22	INFARTO SUBSECUENTE DEL MIOCARDIO
I23	CIERTAS COMPLICACIONES PRESENTES POST ERIORES AL INFARTO AGUDO DEL MIOCARDIO
I24	OTRAS ENFERMEDADES ISQUEMICAS AGUDAS DEL CORAZON
I25	ENFERMEDAD ISQUEMICA CRONICA DEL CORAZON
I26	EMBOLIA PULMONAR
I27	OTRAS ENFERMEDADES CARDIOPULMONARES
I28	OTRAS ENFERMEDADES VASOS PULMONARES
I30	PERICARDITIS AGUDA
I31	OTRAS ENFERMEDADES DEL PERICARDIO
I32*	PERICARDITIS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I33	ENDOCARDITIS AGUDA Y SUBAGUDA
I34	TRASTORNOS NO REUMATICOS DE LA VALVULA MITRAL
I35	TRASTORNOS NO REUMATICOS DE LA VALVULA AORTICA
I36	TRASTORNOS NO REUMATICOS DE LA VALVULA TRICUSPIDE
I37	TRASTORNOS DE LA VALVULA PULMONAR
I38	ENDOCARDITIS, VALVULA NO ESPECIFICADA
I39*	ENDOCARDITIS Y TRASTORNOS VALVULARES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I40	MIOCARDITIS AGUDA
I41*	MIOCARDITIS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I42	CARDIOMIOPATIA
I43*	CARDIOMIOPATIA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I44	BLOQUEO AURICULOVENTRICULAR Y DE RAMA IZQUIERDA DEL HAZ
I45	OTROS TRASTORNOS DE LA CONDUCCION
I46	PARO CARDIACO
I47	TAQUICARDIA PAROXISTICA
I48	FIBRILACION Y ALETEO AURICULAR
I49	OTRAS ARRITMIAS CARDIACAS
I50	INSUFICIENCIA CARDIACA
I51	COMPLICACIONES Y DESCRIPCIONES MAL DEFINIDAS EN ENFERMEDADES CARDIACAS
I52*	OTROS TRASTORNOS CARDIACOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I60	HEMORRAGIA SUBARACNOIDEA
I61	HEMORRAGIA INTRAENCEFALICA
I62	OTRAS HEMORRAG INTRACRANEALES NO TRAUMATICAS
I63	INFARTO CEREBRAL
I64	ACCIDENTE VASCULAR ENCEFALICO AGUDO NO ESPECIFICADO COMO HEMORRAGICO O ISQUEMICO
I65	OCLUSION Y ESTENOSIS EN ARTERIAS PRECEREBRALES SIN OCASIONAR INFARTO CEREBRAL
I66	OCLUSION Y ESTENOSIS EN ARTERIAS CEREBRALES SIN OCASIONAR INFARTO CEREBRAL
I67	OTRAS ENFERMEDADES CEREBROVASCULARES
I68*	TRASTORNOS CEREBROVASCULARES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I69	SECUELAS DE ENFERMEDADES CEREBROVASCULAR
I70	ATEROSCLEROSIS
I71	ANEURISMA Y DISECCION AORTICOS
I72	OTROS ANEURISMAS
I73	OTRAS ENFERMEDADES VASCULARES PERIFERICAS
I74	EMBOLIA Y TROMBOSIS ARTERIALES
I77	OTROS TRASTORNOS ARTERIALES O ARTERIOLARES
I78	ENFERMEDADES DE LOS VASOS CAPILARES
I79*	TRASTORNOS DE LAS ARTERIAS, DE LAS ARTERIOLAS Y DE LOS VASOS CAPILARES EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I80	FLEBITIS Y TROMBOFLEBITIS
I81	TROMBOSIS DE LA VENA PORTA
I82	OTRAS EMBOLIAS Y TROMBOSIS VENOSAS
I83	VENAS VARICOSAS DE LOS MIEMBROS INFERIORES
I84	HEMORROIDES
I85	VARICES ESOFAGICAS
I86	VARICES DE OTROS SITIOS
I87	OTROS TRASTORNOS DE LAS VENAS
I88	LINFADENITIS INESPECIFICA
I89	OTROS TRASTORNOS NO INFECCIOSOS DE LOS VASOS Y GANGLIOS LINFATICOS
I95	HIPOTENSION
I97	TRASTORNOS DEL SISTEMA CIRCULATORIO CONSECUTIVOS A PROCEDIMIENTOS NO CLASIFICADOS EN OTRA PARTE
I98*	OTROS TRASTORNOS DEL SISTEMA CIRCULATORIO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
I99	OTROS TRASTORNOS Y LOS NO ESPECIFICADOS DEL SISTEMA CIRCULATORIO
J00	RINOFARINGITIS AGUDA
J01	SINUSITIS AGUDA
J02	FARINGITIS AGUDA
J03	AMIGDALITIS AGUDA
J04	LARINGITIS Y TRAQUEITIS AGUDAS
J05	LARINGITIS OBSTRUCTIVA AGUDA [CRUP] Y EPIGLOTITIS
J06	INFECCIONES AGUDAS DE LAS VIAS RESPIRATORIAS SUPERIORES, DE SITIOS MULTIPLES O NO ESPECIFICADOS
J10	INFLUENZA DEBIDA A VIRUS DE LA INFLUENZA IDENTIFICADO
J11	INFLUENZA DEBIDA A VIRUS NO IDENTIFICADO
J12	NEUMONIA VIRAL NO CLASIFICADA EN OTRA PARTE
J13	NEUMONIA DEBIDA A STREPTOCOCCUS PNEUMONIAE
J14	NEUMONIA DEBIDA A HAEMOPHILUS INFLUENSAE
J15	NEUMONIA BACTERIANA NO CLASIFICADA EN OTRA PARTE
J16	NEUMONIA DEBIDA A OTROS MICROORGANISMOS INFECCIOSOS, NO CLASIFICADOS EN OTRA PARTE
J17*	NEUMONIA EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
J18	NEUMONIA ORGANISMO NO ESPECIFICADO
J20	BRONQUITIS AGUDA
J21	BRONQUIOLITIS AGUDA
J22	INFEC AGUD NO ESPECIFICADA DE LAS VIAS RESPIRATORIAS INFERIORES
J30	RINITIS ALERGICA Y VASOMOTORA
J31	RINITIS, RINOFARINGITIS Y FARINGITIS CRONICA
J32	SINUSITIS CRONICA
J33	POLIPO NASAL
J34	OTROS TRASTORNOS DE LA NARIZ Y DE LOS SENOS PARANASALES
J35	ENFERMEDADES CRONICAS DE LAS AMIGDALAS Y DE LAS ADENOIDES
J36	ABSCESO PERIAMIGDALINO
J37	LARINGITIS Y LARINGOTRAQUEITIS CRONICAS
J38	ENFERMEDADES DE LAS CUERDAS VOCALES Y DE LA LARINGE NO CLASIFICADAS EN OTRA PARTE
J39	OTRAS ENFERMEDADES DE LAS VIAS RESPIRATORIAS SUPERIORES
J40	BRONQUITIS NO ESPECIFICADA COMO AGUDA O CRONICA
J41	BRONQUITIS CRONICA SIMPLE Y MUCOPURULENTA
J42	BRONQUITIS CRONICA NO ESPECIFICADA
J43	ENFISEMA
J44	OTRAS ENFERMEDADES PULMONARES OBSTRUCTIVAS CRONICAS
J45	ASMA
J46	ESTADO ASMATICO
J47	BRONQUIECTASIA
J60	NEUMOCONIOSIS DE LOS MINEROS DE DEL CARBON
J61	NEUMOCONIOSIS DEBIDA AL ASBESTO Y A OTRAS FIBRAS MINERALES
J62	NEUMOCONIOSIS DEBIDAS A POLVO DE SILICE
J63	NEUMOCONIOSIS DEBIDA A OTROS POLVOS INORGANICOS
J64	NEUMOCONIOSIS NO ESPECIFICADA
J65	NEUMOCONIOSIS ASOCIADA CON TUBERCULOSIS
J66	ENFERMEDADES DE LAS VIAS AEREAS DEBIDAS A POLVOS ORGANICOS ESPECIFICOS
J67	NEUMONITIS DEBIDA A HIPERSENSIBILIDAD AL POLVO ORGANICO
J68	AFECCIONES RESPIRATORIAS DEBIDAS A INHALACION DE GASES, HUMOS, VAPORES Y SUSTANCIAS QUIMICAS
J69	NEUMONITIS DEBIDA A SOLIDOS Y LIQUIDOS
J70	AFECCIONES RESPIRATORIAS DEBIDAS A OTROS AGENTES EXTERNOS
J80	SINDROME DE DIFICULTAD RESPIRATORIA DEL ADULTO
J81	EDEMA PULMONAR
J82	EOSINOFILIA PULMONAR NO CLASIFICADA EN OTRA PARTE
J84	OTRAS ENFERMEDADES PULMONARES INTERSTICIALES
J85	ABSCESO DEL PULMON Y DEL MEDIASTINO
J86	PIOTORAX
J90	DERRAME PLEURAL NO CLASIFICADO EN OTRA PARTE
J91*	DERRAME PLEURAL EN AFECCIONES CLASIFICADAS EN OTRA PARTE
J92	PAQUIPLEURITIS
J93	NEUMOTORAX
J94	OTRAS AFECCIONES DE LA PLEURA
J95	TRASTORNOS DEL SISTEMA RESPIRATORIO, CONSECUTIVOS A PROCEDIMIENTOS NO CLASIFICADOS EN OTRA PARTE
J96	INSUFICIENCIA RESPIRATORIA NO CLASIFICADAS EN OTRA PARTE
J98	OTROS TRASTORNOS RESPIRATORIOS
J99*	TRASTORNOS RESPIRATORIOS EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
K00	TRASTORNOS DEL DESARROLLO Y DE LA ERUPCION DE LOS DIENTES
K01	DIENTES INCLUIDOS E IMPACTADOS
K02	CARIES DENTAL
K03	OTRAS ENFERMEDADES DE LOS TEJIDOS DUROS DE LOS DIENTES
K04	ENFERMEDADES DE LA PULPA Y DE LOS TEJIDOS PERIAPICALES
K05	GINGIVITIS Y ENFERMEDADES PERIODONTALES
K06	OTROS TRASTORNOS DE LA ENCIA Y DE LA ZONA EDENTULA
K07	ANOMALIAS DENTOFACIALES [INCLUSOLA MALOCLUSION]
K08	OTROS TRASTORNOS DE LOS DIENTES Y DE SUS ESTRUCTURAS DE SOSTEN
K09	QUISTES DE LA REGION BUCAL NO CLASIFICADAS EN OTRA PARTE
K10	OTRAS ENFERMEDADES DE LOS MAXILARES
K11	ENFERMEDADES DE LAS GLANDULAS SALIVARES
K12	ESTOMATITIS Y LESIONES AFINES
K13	OTRAS ENFERMEDADES DE LOS LABIOS Y DE LA MUCOSA BUCAL
K14	ENFERMEDADES DE LA LENGUA
K20	ESOFAGITIS
K21	ENFERMEDAD DEL REFLUJO GASTROESOFAGICO
K22	OTRAS ENFERMEDADES DEL ESOFAGO
K23*	TRASTORNOS DEL ESOFAGO EN ENFERMEDADES CLASIFICADAS EN OTRA PARTE
K25	ULCERA GASTRICA
K26	ULCERA DUODENAL
K27	ULCERA PEPTICA, SITIO NO ESPECIFICADO
K28	ULCERA GASTROYEYUNAL
K29	GASTRITIS Y DUODENITIS
K30	DISPEPSIA
K31	OTRAS ENFERMEDADES DEL ESTOMAGO Y DEL DUODENO
K35	APENDICITIS AGUDA
K36	OTROS TIPOS DE APENDICITIS
K37	APENDICITIS NO ESPECIFICADA
K38	OTRAS ENFERMEDADES DEL APENDICE
K40	HERNIA INGUINAL
K41	HERNIA FEMORAL
K42	HERNIA UMBILICAL
K43	HERNIA VENTRAL
K44	HERNIA DIAFRAGMATICA
K45	OTRAS HERNIAS DE LA CAVIDAD ABDOMINAL
K46	HERNIA NO ESPECIFICADA DE LA CAVIDAD ABDOMINAL
K50	ENFERMEDADES DE CROHN [ENTERITIS REGIONAL]
K51	COLITIS ULCERATIVA
K52	OTRAS COLITIS Y GASTROENTERIT NO INFECCIOSAS
K55	TRASTORNOS VASCULARES DE LOS INTESTINOS
K56	ILEO PARALITICO Y OBSTRUCCION INTESTINAL SIN HERNIA
K57	ENFERMEDAD DIVERTICULAR DEL INTESTINO
K58	SINDROME DEL COLON IRRITABLE
K59	OTROS TRASTORNOS FUNCIONALES DEL INTESTINO
